지방청,해경서,발생일자,발생요일,사고유형_세분류,장소유형,발생지역,사고원인1차,위험구역지정
남해 지방청,통영,2020-07-09,금요일,기타익수,항포구,경상남도,음주,없음
중부 지방청,인천,2020-07-09,금요일,기타,해안가,인천광역시,기상불량,없음
중부 지방청,보령,2020-07-11,일요일,추락익수,해안가,충청남도,부주의,없음
서해 지방청,부안,2020-07-11,일요일,추락,방파제,전북,음주,없음
남해 지방청,부산,2020-07-12,월요일,추락익수,항포구,부산광역시,부주의,사망사고 발생구역
중부 지방청,보령,2020-07-12,월요일,추락익수,항포구,충청남도,부주의,연안사고 위험구역
서해 지방청,완도,2020-07-12,월요일,추락익수,해양,전라남도,부주의,사망사고 발생구역
중부 지방청,평택,2020-07-12,월요일,수상레저익수,해양,충청남도,부주의,연안사고 위험구역
동해 지방청,동해,2020-07-12,월요일,기타익수,해안가,강원도,부주의,없음
제주 지방청,제주,2020-07-12,월요일,기타익수,해안가,제주특별자치도,음주,연안사고 다발구역
동해 지방청,속초,2020-07-13,화요일,추락익수,항포구,강원도,부주의,없음
동해 지방청,속초,2020-07-15,목요일,수상레저익수,해안가,강원도,부주의,없음
중부 지방청,태안,2020-07-15,목요일,추락익수,테트라포드,충남,부주의,연안사고 다발구역
남해 지방청,통영,2020-07-16,금요일,추락익수,항포구,경상남도,음주,사망사고 발생구역
서해 지방청,목포,2020-07-18,일요일,추락익수,기타,전라남도,부주의,사망사고 발생구역
중부 지방청,태안,2020-07-18,일요일,기타익수,해안가,충청남도,부주의,없음
중부 지방청,인천,2020-07-18,일요일,고립,갯벌,인천광역시,조석 미인지,없음
동해 지방청,동해,2020-07-18,일요일,추락익수,항포구,경상북도,부주의,없음
중부 지방청,평택,2020-07-18,일요일,고립,갯벌,경기도,조석 미인지,없음
동해 지방청,포항,2020-07-18,일요일,추락,테트라포드,경상북도,음주,연안사고 위험구역
제주 지방청,제주,2020-07-18,일요일,수중레저익수,해양,제주특별자치도,부주의,없음
남해 지방청,통영,2020-07-19,월요일,기타익수,항포구,경상남도,음주,사망사고 발생구역
중부 지방청,인천,2020-07-19,월요일,기타익수,해수욕장,인천광역시,부주의,없음
중부 지방청,인천,2020-07-19,월요일,고립,갯벌,인천광역시,부주의,없음
동해 지방청,포항,2020-07-19,월요일,수상레저익수,해안가,경상북도,음주,없음
중부 지방청,인천,2020-07-19,월요일,추락익수,항포구,인천광역시,음주,연안사고 다발구역
남해 지방청,부산,2020-07-20,화요일,추락익수,테트라포드,부산시,부주의,사망사고 발생구역
동해 지방청,포항,2020-07-21,수요일,수상레저익수,갯바위,경상북도,음주,없음
서해 지방청,부안,2020-07-22,목요일,고립익수,갯벌,전라북도,조석 미인지,없음
중부 지방청,인천,2020-07-22,목요일,추락익수,항포구,인천광역시,음주,없음
서해 지방청,목포,2020-07-23,금요일,고립익수,갯벌,전남,조석 미인지,없음
제주 지방청,제주,2020-07-24,토요일,표류,해안가,제주특별자치도,안전미준수,없음
서해 지방청,여수,2020-07-25,일요일,기타익수,항포구,전라남도,부주의,없음
서해 지방청,목포,2020-07-26,월요일,추락익수,항포구,전라남도,부주의,없음
동해 지방청,속초,2020-07-26,월요일,수중레저익수,해양,강원도,부주의,없음
남해 지방청,울산,2020-07-26,월요일,추락익수,항포구,울산시,운전 부주의,없음
동해 지방청,동해,2020-07-26,월요일,기타익수,해안가,강원도,음주,없음
중부 지방청,인천,2020-07-26,월요일,기타,갯벌,인천광역시,부주의,없음
동해 지방청,속초,2020-07-27,화요일,추락,테트라포드,강원도,음주,연안사고 위험구역
제주 지방청,제주,2020-07-27,화요일,기타익수,해안가,제주특별자치도,음주,없음
동해 지방청,속초,2020-07-27,화요일,수상레저익수,해수욕장,강원도,부주의,없음
중부 지방청,평택,2020-07-27,화요일,추락익수,항포구,인천광역시,질병,없음
동해 지방청,포항,2020-07-29,목요일,수상레저익수,해안가,경상북도,음주,없음
중부 지방청,평택,2020-07-29,목요일,추락익수,항포구,충청남도,부주의,없음
남해 지방청,통영,2020-07-30,금요일,추락익수,방파제,경상남도,부주의,없음
동해 지방청,울진,2020-07-31,토요일,기타익수,해안가,경상북도,부주의,없음
서해 지방청,여수,2020-07-31,토요일,기타익수,해수욕장,전남,음주,없음
중부 지방청,인천,2020-07-31,토요일,고립,갯바위,인천광역시,부주의,없음
남해 지방청,통영,2020-08-01,일요일,추락익수,해양,경상남도,음주,없음
서해 지방청,목포,2020-08-01,일요일,기타익수,갯바위,전라남도,부주의,없음
남해 지방청,부산,2020-08-01,일요일,기타익수,해양,부산광역시,수영미숙,없음
중부 지방청,평택,2020-08-01,일요일,추락익수,항포구,충청남도,부주의,없음
서해 지방청,여수,2020-08-01,일요일,추락익수,테트라포드,전라남도,낚시,없음
서해 지방청,완도,2020-08-01,일요일,기타익수,해안가,전라남도,음주,없음
동해 지방청,포항,2020-08-02,월요일,고립,갯바위,경상북도,부주의,연안사고 위험구역
서해 지방청,목포,2020-08-02,월요일,고립,갯바위,전라남도,부주의,없음
동해 지방청,포항,2020-08-02,월요일,표류,해안가,경상북도,부주의,없음
서해 지방청,목포,2020-08-02,월요일,추락,갯바위,전라남도,부주의,없음
동해 지방청,포항,2020-08-02,월요일,수중레저익수,해양,경상북도,안전미준수,없음
제주 지방청,제주,2020-08-02,월요일,추락,항포구,제주특별자치도,부주의,없음
서해 지방청,여수,2020-08-03,화요일,고립,갯바위,전라남도,낚시,없음
중부 지방청,평택,2020-08-03,화요일,기타,해안가,경기도,음주,연안사고 위험구역
서해 지방청,군산,2020-08-03,화요일,표류,해수욕장,전라북도,부주의,없음
중부 지방청,태안,2020-08-04,수요일,고립,갯바위,충청남도,낚시,없음
중부 지방청,인천,2020-08-04,수요일,고립,갯바위,인천시,조석 미인지,없음
남해 지방청,부산,2020-08-04,수요일,기타익수,갯바위,부산광역시,안전미준수,없음
제주 지방청,제주,2020-08-04,수요일,수상레저익수,해양,제주특별자치도,부주의,연안사고 다발구역
제주 지방청,제주,2020-08-04,수요일,표류,해수욕장,제주도,부주의,없음
서해 지방청,목포,2020-08-05,목요일,표류,해안가,전라남도,기상불량,없음
중부 지방청,인천,2020-08-05,목요일,고립,갯벌,인천광역시,부주의,사망사고 발생구역
서해 지방청,목포,2020-08-05,목요일,표류,해수욕장,전남,기상불량,없음
중부 지방청,인천,2020-08-05,목요일,고립,갯바위,인천시,조석 미인지,없음
제주 지방청,제주,2020-08-07,토요일,표류,해수욕장,제주도,부주의,없음
